Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
154.4	0.00543881300836802	0.00495915254577994	0.00530364271253347	0.00596925523132086	0.00677201291546226	0.0054987845942378	0.00555590400472283	0.0054889228194952	0.00541488220915198	0.00541450222954154	0.0060055055655539	0.00590242724865675	0.00543513242155313	0.00541953835636377	0.0060688448138535	0.0055359173566103	0.00639289617538452	0.00517079094424844	0.00570844020694494	0.00579424761235714	0.00618585618212819	0.00590086216107011	0.00567941553890705	0.006240114569664	0.00575030455365777	0.00585908256471157	0.00536120310425758	0.00525910826399922	0.00540735246613622	0.00615667551755905	0.00660268729552627	0.00547133898362517	0.00602911040186882	0.00571199599653482	0.00553159322589636	0.00585119426250458	0.00598016334697604	0.00583927193656564	0.00565242487937212	0.00516183534637094	0.00534397643059492
157.4	0.00508803362026811	0.00566328503191471	0.0050221486017108	0.00473841466009617	0.00517376186326146	0.00504690315574408	0.00526955397799611	0.00510539812967181	0.0047459676861763	0.00485834991559386	0.00503772031515837	0.00556696578860283	0.00492896698415279	0.00465712044388056	0.00522771617397666	0.00536531442776322	0.00482724187895656	0.00507220765575767	0.00534495245665312	0.00543528702110052	0.00532834371551871	0.00506326975300908	0.00501571781933308	0.00558078568428755	0.00482936762273312	0.0051282960921526	0.00528453523293138	0.00543972663581371	0.00573431653901935	0.00486732507124543	0.00498777162283659	0.00615976611152291	0.00485724024474621	0.00538163492456079	0.00547689897939563	0.00484900316223502	0.0052854074165225	0.0051477225497365	0.00520296208560467	0.00489643402397633	0.00517706526443362
160.4	0.00367045705206692	0.00336894392967224	0.0037646284326911	0.00328617519699037	0.00360550312325358	0.00450822478160262	0.00358519586734474	0.00394377764314413	0.0035743594635278	0.00340065080672503	0.00375641696155071	0.0042297332547605	0.00361806061118841	0.00355025986209512	0.00405096542090178	0.00399742042645812	0.00347283040173352	0.00296781049109995	0.0049831559881568	0.00400636438280344	0.00367784756235778	0.00397536950185895	0.00396569771692157	0.00313940411433578	0.00375360460020602	0.00403227051720023	0.00389895867556334	0.00376533484086394	0.00380870676599443	0.00381210679188371	0.00384805887006223	0.00360363558866084	0.00386211276054382	0.00359600386582315	0.00382282817736268	0.00422123447060585	0.0035497632343322	0.00344200967811048	0.00344435404986143	0.00378263765014708	0.00390936993062496
163.4	0.00390345649793744	0.00376634649001062	0.0035889376886189	0.00412979163229465	0.00365623645484447	0.00354540441185236	0.00408712914213538	0.00364012294448912	0.00382264726795256	0.00365066574886441	0.00334692350588739	0.00411855755373836	0.00349580054171383	0.00362066645175219	0.00394436530768871	0.00425401562824845	0.00386720127426088	0.00378908356651664	0.00378516828641295	0.00463189277797937	0.00360392406582832	0.00382235227152705	0.00387894106097519	0.00380012020468712	0.00360170868225396	0.00348703167401254	0.00319413817487657	0.00355118815787137	0.00356924207881093	0.00385568803176284	0.00364760705269873	0.00349663989618421	0.004160201177001	0.00379425170831382	0.00372761976905167	0.00350751494988799	0.0039866715669632	0.00343221100047231	0.00365731213241816	0.00360427005216479	0.00333199929445982
166.4	0.00386203778907657	0.00383008643984795	0.00406886963173747	0.00375302508473396	0.00396824674680829	0.00423456076532602	0.00438796076923609	0.00381927029229701	0.00440755626186728	0.00414487440139055	0.00347697339020669	0.00434537371620536	0.00425274018198252	0.00401169992983341	0.00433850986883044	0.00445379456505179	0.00454963045194745	0.00456821639090776	0.00397421885281801	0.00393518712371588	0.00496842851862311	0.00381927331909537	0.00428144354373217	0.00463626673445106	0.00417675450444221	0.00428177369758487	0.00454300036653876	0.00445381784811616	0.00435967603698373	0.00401579448953271	0.00402668584138155	0.00413180142641068	0.00387281971052289	0.00449947873130441	0.00469341641291976	0.00458431104198098	0.00403898861259222	0.0043369559571147	0.00386138469912112	0.00385276903398335	0.0035982271656394
169.4	0.00397831154987216	0.00388754229061306	0.00369668682105839	0.00383041030727327	0.0038481280207634	0.00386828323826194	0.00376121583394706	0.00395676586776972	0.0037058147136122	0.00386261870153248	0.00341864442452788	0.0040553049184382	0.00345901842229068	0.00352837867103517	0.00381487794220448	0.00404932303354144	0.00411746650934219	0.00448147533461452	0.00348136411048472	0.00353425880894065	0.00399464042857289	0.00408451352268457	0.00393503252416849	0.00327999517321587	0.00360032077878714	0.00361170619726181	0.00347983022220433	0.00340023473836482	0.00371981575153768	0.00386356958188117	0.00339947990141809	0.00370505708269775	0.00393706141039729	0.0036700745113194	0.00421799765899777	0.00375137943774462	0.00409192824736238	0.00315888714976609	0.00352802663110197	0.00363822374492884	0.00345636741258204
172.4	0.00358957750722766	0.00389637006446719	0.00384349469095469	0.0041646002791822	0.00383007293567061	0.00361445429734886	0.00364282401278615	0.00386092206463218	0.004319969099015	0.00382455671206117	0.00338858715258539	0.00366477645002306	0.00399794476106763	0.00379854417406023	0.00404589669778943	0.00406298926100135	0.00429660035297275	0.00475338753312826	0.00422618398442864	0.00394133664667606	0.00387035659514368	0.00402262946590781	0.00395768461748958	0.0036969892680645	0.0036913042422384	0.00379247637465596	0.00375703815370798	0.00404669204726815	0.00364050944335759	0.00390220526605844	0.00377917778678238	0.00348007190041244	0.00358000746928155	0.00384326907806098	0.0039019868709147	0.00468533858656883	0.00338315893895924	0.00356048461981118	0.00371284713037312	0.00332122459076345	0.00381375895813107
																																									
TBGA Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel
X(mm)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)
-172.4	0.00536373723298311	0.00463642738759518	0.00433673616498709	0.00442380784079432	0.00410320935770869	0.00453902734443545	0.00421155383810401	0.00412457901984453	0.00412613758817315	0.00380859617143869	0.00434836186468601	0.00568940863013268	0.00421139039099216	0.00446864496916533	0.00464822212234139	0.0040229307487607	0.00425551692023873	0.00372368982061744	0.00397883588448167	0.00421529123559594	0.00369048537686467	0.00391204096376896	0.00421879766508937	0.00427828449755907	0.00399070139974356	0.00474490178748965	0.00411064876243472	0.00387121480889618	0.00381555338390172	0.00375916110351682	0.00384868262335658	0.00317661697044969	0.00385880284011364	0.00333199487067759	0.00359561154618859	0.00329410540871322	0.00345494551584125	0.00313948979601264	0.0039507495239377	0.00336874322965741	0.0032370500266552
-169.4	0.00462517235428095	0.00466412538662553	0.00487068062648177	0.00488529819995165	0.00472648767754436	0.00467522023245692	0.00425372133031487	0.00457346346229315	0.00433423183858395	0.00412151450291276	0.00492612505331635	0.00508151855319738	0.00463344156742096	0.00484736962243915	0.00486897816881537	0.00422483077272773	0.00438231509178877	0.00478616310283542	0.00463572330772877	0.00449421396479011	0.00407028058543801	0.00440696347504854	0.00413991324603558	0.00428073201328516	0.00481502432376146	0.00408371211960912	0.00404566014185548	0.00410659564658999	0.00391933508217335	0.00441108830273151	0.00394592527300119	0.00445313099771738	0.0041596288792789	0.00412275269627571	0.00355651695281267	0.00394671550020576	0.00403921911492944	0.0048748548142612	0.00380385876633227	0.00400344701483846	0.00399518851190805
-166.4	0.00505110621452332	0.00478817010298371	0.00474061723798513	0.00444199331104755	0.00453123822808266	0.00418269215151668	0.00450687669217587	0.00451953150331974	0.00448557361960411	0.00524077704176307	0.00439614104107022	0.00485384464263916	0.00451029278337955	0.00476584490388632	0.00496221706271172	0.00450560310855508	0.00430535245686769	0.00418156292289495	0.00461437599733472	0.00412170635536313	0.00432597054168582	0.0043525998480618	0.00427551520988345	0.00483876885846257	0.00422698678448796	0.00396163202822208	0.00396889727562666	0.00389527389779687	0.00419588247314095	0.0041486001573503	0.00416130293160677	0.00389497284777462	0.00417226599529386	0.00393278570845723	0.00419269083067775	0.00396306021139026	0.00413793604820967	0.00352742476388812	0.0036669191904366	0.00341792078688741	0.00322175351902843
-163.4	0.00462307408452034	0.00471088429912925	0.00455951085314155	0.00466454029083252	0.00493916170671582	0.00508007872849703	0.00473350938409567	0.00442760949954391	0.00536040402948856	0.00451859878376126	0.00436844769865274	0.00477050105109811	0.00458159763365984	0.00486121047288179	0.00506170187145472	0.00427401158958673	0.00437987688928843	0.00465057045221329	0.00481687067076564	0.0041742236353457	0.00479735620319843	0.00452683819457889	0.00471809459850192	0.00425304425880313	0.00407481612637639	0.00456468854099512	0.004112942609936	0.00437216507270932	0.00349255744367838	0.00424457993358374	0.00399047555401921	0.00425207754597068	0.00389332394115627	0.00408306065946817	0.00399783672764897	0.00465207500383258	0.00427471287548542	0.00366864074021578	0.00363082764670253	0.0037600842770189	0.00377390999346972
-160.4	0.0056314067915082	0.00542284036055207	0.00545909116044641	0.00512021686881781	0.00521542923524976	0.00534517131745815	0.00517142750322819	0.00542534468695521	0.00483994465321302	0.00519405212253332	0.00526073109358549	0.00506828678771853	0.00508012296631932	0.00555462623015046	0.00554130226373672	0.00501522608101368	0.00511719705536962	0.00499893212690949	0.00486154714599252	0.00476535083726048	0.00475125573575497	0.00504802633076906	0.00479009980335832	0.00482255406677723	0.00483735278248787	0.00436137523502111	0.00450486270710826	0.00476278038695455	0.00514494208618999	0.00444849906489253	0.00451202085241675	0.00478059193119407	0.00458590174093843	0.00475196167826653	0.00460047880187631	0.00417643645778298	0.00406597973778844	0.00386178982444108	0.00447266409173608	0.00406332174316049	0.00418750755488873
-157.4	0.00584782101213932	0.00584590435028076	0.00574689731001854	0.00578517466783524	0.00557882199063897	0.00546737341210246	0.00562797067686915	0.00581314601004124	0.00556224212050438	0.00620981957763433	0.0055892514064908	0.00569701287895441	0.00559126725420356	0.00593471946194768	0.00572061911225319	0.00543455732986331	0.00545309064909816	0.00540754059329629	0.00531106116250157	0.0055668530985713	0.00574089074507356	0.00525983050465584	0.00520439678803086	0.00546441879123449	0.00520195160061121	0.00514433905482292	0.00533518847078085	0.0051668812520802	0.00511397607624531	0.00511253857985139	0.00513388123363256	0.00538160279393196	0.00507027516141534	0.00520046940073371	0.00532241351902485	0.00502102542668581	0.00477201445028186	0.00486696837469935	0.00438785646110773	0.00490350183099508	0.00481971027329564
-154.4	0.00623313942924142	0.0062926453538239	0.00626863911747932	0.00645356019958854	0.00671740248799324	0.00639571901410818	0.00677141547203064	0.00631104549393058	0.00622167950496078	0.00688953511416912	0.00627200677990913	0.00557443127036095	0.00605497602373362	0.00625808024778962	0.00595005927607417	0.00584048964083195	0.00591578288003802	0.00605621980503201	0.00570644391700625	0.00737946946173906	0.00582591723650694	0.00600244337692857	0.00581865711137652	0.00571559695526958	0.00562359485775232	0.00592699693515897	0.00582466833293438	0.00577586749568582	0.00544601678848267	0.00543098943307996	0.00520700495690107	0.00571382511407137	0.00574451358988881	0.00591493165120482	0.00550336111336946	0.00537125347182155	0.00527496542781591	0.00501949340105057	0.00515305437147617	0.00513720698654652	0.00501158367842436
-151.4	0.00726755009964108	0.00672419695183635	0.00681463722139597	0.00678834924474359	0.00646436819806695	0.00752009404823184	0.00668618595227599	0.00636065658181906	0.00702009443193674	0.00682287244126201	0.00670399749651551	0.00612103054299951	0.0067344238050282	0.00688837515190244	0.00627167196944356	0.00665189698338509	0.00648622307926416	0.00645293155685067	0.0071679730899632	0.00642056716606021	0.00657146330922842	0.00634526973590255	0.00650186510756612	0.00624273391440511	0.00619144458323717	0.00582587532699108	0.00592069840058684	0.00589033961296082	0.00642205635085702	0.00603201379999518	0.00641293497756124	0.00572841614484787	0.00638531008735299	0.00565252965316176	0.00606783572584391	0.00530602224171162	0.00566819775849581	0.0052409153431654	0.00583002856001258	0.0053053917363286	0.00508955074474216
-148.4	0.00718691945075989	0.0070613375864923	0.00732224155217409	0.00685319071635604	0.00695360777899623	0.00703143607825041	0.00707657216116786	0.00694705173373222	0.00697034224867821	0.00740715954452753	0.00695963110774755	0.00662580598145723	0.00709854951128364	0.00735714193433523	0.0068277521058917	0.00695733586326241	0.00710878428071737	0.00789488106966019	0.00706947036087513	0.0063946139998734	0.00709093408659101	0.00623715342953801	0.00652387924492359	0.00674172444269061	0.00706317787989974	0.00671944580972195	0.00670056277886033	0.00634117936715484	0.00617463560774922	0.00646530324593186	0.00636362237855792	0.00722610484808683	0.00568256061524153	0.00640467647463083	0.00606551812961698	0.0061177727766335	0.00575606198981404	0.00629028910771012	0.00590518210083246	0.00625625858083367	0.00618287408724427
-145.4	0.00739224255084991	0.00763629330322146	0.00721658393740654	0.00763501133769751	0.00872321054339409	0.00786883756518364	0.0072214026004076	0.00714966794475913	0.00704258726909757	0.00689805811271071	0.00716931186616421	0.00699218269437551	0.00740216486155987	0.00773434527218342	0.00695466063916683	0.00709954928606749	0.0079259630292654	0.00711167696863413	0.00728141888976097	0.00645537534728646	0.00652032531797886	0.00678521813824773	0.00627851160243154	0.00680826650932431	0.00622432585805655	0.00693576270714402	0.00688742427155375	0.00687722209841013	0.0068955896422267	0.00665358314290643	0.00735862972214818	0.00650820974260569	0.00734789157286286	0.00648020021617413	0.00664838124066591	0.00609147222712636	0.00627982709556818	0.00567676546052098	0.00588839873671532	0.00605330802500248	0.00591867649927735
-142.4	0.00873253960162401	0.00834884494543076	0.00858507677912712	0.00897610560059547	0.00818690937012434	0.00838235300034285	0.00841327290982008	0.0083680460229516	0.0077237724326551	0.00797500927001238	0.00817784853279591	0.00809952523559332	0.00827439408749342	0.0084823640063405	0.0077104726806283	0.00895288959145546	0.00816813018172979	0.00763803301379085	0.00797856133431196	0.00814631581306458	0.00760155078023672	0.00809422042220831	0.0080829206854105	0.00750902527943254	0.00745989242568612	0.00798889342695475	0.00745427841320634	0.00788019504398108	0.00742538273334503	0.00837156176567078	0.00729118986055255	0.00749642914161086	0.00689757755026221	0.00741011323407292	0.00716047268360853	0.00730055430904031	0.00687822420150042	0.00714829936623573	0.00706025632098317	0.00650036381557584	0.00694754673168063
-139.4	0.00803968589752913	0.00862016621977091	0.00944224558770657	0.00911070685833693	0.00867644604295492	0.00806203857064247	0.0086607662960887	0.00844953954219818	0.00823603849858046	0.00820071808993816	0.00842678640037775	0.00849023647606373	0.00858211424201727	0.00874138716608286	0.00849142298102379	0.00841875281184912	0.008381187915802	0.00799417402595282	0.008007837459445	0.00891453679651022	0.00800546444952488	0.00857692584395409	0.00860469043254852	0.00799271836876869	0.00851270090788603	0.0082021513953805	0.00787402875721455	0.00758857419714332	0.00854184199124575	0.00766075868159533	0.00777832418680191	0.00784063152968884	0.00816437508910894	0.00775807769969106	0.0078307967633009	0.00707603385671973	0.00708205113187432	0.00698922667652369	0.00701347133144736	0.00755567755550146	0.00714714266359806
-136.4	0.00949208717793226	0.00955072790384293	0.00965237058699131	0.00881989020854235	0.00906619988381863	0.00909844599664211	0.00879889167845249	0.00885074958205223	0.00919800996780396	0.00929882470518351	0.00912308506667614	0.00892231427133083	0.00902985967695713	0.0101426681503654	0.00830098427832127	0.0088491989299655	0.00881217978894711	0.00855454243719578	0.00850248523056507	0.0091420104727149	0.00896228011697531	0.00821409467607737	0.0087195010855794	0.00892431009560823	0.00847569108009338	0.00799531862139702	0.0085584744811058	0.00975573156028986	0.00832983292639256	0.00862439069896936	0.00851140636950731	0.0082458108663559	0.00795385893434286	0.00848613120615482	0.0084102600812912	0.00799491815268993	0.00802997220307589	0.00784321874380112	0.0077051492407918	0.00792339537292719	0.00828100834041834
-133.4	0.0102787604555488	0.0105788270011544	0.00995967164635658	0.0103929229080677	0.0103355422616005	0.0108735710382462	0.0101287383586168	0.0104426266625524	0.0104321269318461	0.0110013084486127	0.0102805886417627	0.010878604836762	0.011205643415451	0.0107600344344974	0.00976355187594891	0.0101836286485195	0.0099696721881628	0.0102664567530155	0.0101463813334703	0.0096978722140193	0.00985727179795504	0.00950614642351866	0.00977236591279507	0.00995043758302927	0.00961536727845669	0.00989000592380762	0.0101458802819252	0.00957122724503279	0.0095949899405241	0.00941507425159216	0.00943129230290651	0.00964765716344118	0.0100337509065866	0.00921433884650469	0.00923742540180683	0.00896848365664482	0.00883249379694462	0.00942174345254898	0.0089270593598485	0.00956973247230053	0.0089239040389657
-130.4	0.0122219892218709	0.0113274166360497	0.0115420101210475	0.0110675692558289	0.0112429820001125	0.01056769490242	0.0113077946007252	0.0107447635382414	0.0111261224374175	0.0113432975485921	0.01113376673311	0.0121711883693933	0.0111492378637195	0.0113269044086337	0.0102356867864728	0.0110241184011102	0.0103269023820758	0.010858092457056	0.0108573995530605	0.0101351104676723	0.0102851521223783	0.0105416504666209	0.01049027685076	0.0102208899334073	0.010595990344882	0.0109858186915517	0.0106893386691809	0.00995816476643085	0.0103446105495095	0.0105820121243596	0.0103846685960889	0.00991060864180326	0.00937230326235294	0.010419781319797	0.0102104609832168	0.00981842260807753	0.00991377141326666	0.00927174743264914	0.00993687752634287	0.00977550633251667	0.00954734440892935
-127.4	0.0124063305556774	0.0122698908671737	0.0122329536825418	0.0123369656503201	0.0121370172128081	0.0120353056117892	0.0124732917174697	0.0120617682114244	0.0121082030236721	0.0123220812529325	0.0130663886666298	0.0125672221183777	0.012153890915215	0.0125344125553966	0.0113588161766529	0.0121539067476988	0.0118134301155806	0.0121430968865752	0.0117946993559599	0.0115133887156844	0.0114736910909414	0.0119974035769701	0.0117213968187571	0.0113031575456262	0.0119430469349027	0.0111706210300326	0.011061686091125	0.0119941458106041	0.0110824275761843	0.0108484867960215	0.0111581534147263	0.0115763284265995	0.0116747319698334	0.0111609622836113	0.0107483584433794	0.0103598861023784	0.0100729968398809	0.0113981729373336	0.0104430485516787	0.0104443812742829	0.0108812525868416
-124.4	0.013849439099431	0.0135343167930841	0.013940891250968	0.013615901581943	0.0135710779577494	0.01342030800879	0.0128972036764026	0.0130671020597219	0.0131002636626363	0.0140757029876113	0.0133145665749907	0.0135641498491168	0.0132810836657882	0.0136348428204656	0.0127794872969389	0.0131635600700974	0.0130516942590475	0.0128953391686082	0.0129007957875729	0.0131962383165956	0.0127368755638599	0.0124707948416471	0.0130833787843585	0.0134666217491031	0.012616116553545	0.0123960105702281	0.0123295001685619	0.0118850376456976	0.012623212300241	0.0124666523188353	0.0126794688403606	0.0121890120208263	0.0119501296430826	0.0120945824310184	0.0124753145501018	0.0118009187281132	0.013070484623313	0.0116661703214049	0.0114794513210654	0.0115929991006851	0.0114871691912413
-121.4	0.0143667943775654	0.0144432857632637	0.0141502721235156	0.0144929718226194	0.0140241272747517	0.0144654978066683	0.0140087613835931	0.0143192987889051	0.0149241061881185	0.0141393216326833	0.0142062418162823	0.0143642779439688	0.0142373889684677	0.0144490245729685	0.0136754624545574	0.0143423778936267	0.0138885332271457	0.013522969558835	0.0132245132699609	0.0139149948954582	0.0136865163221955	0.0131917232647538	0.0133293587714434	0.0135900694876909	0.0132024716585875	0.0134772900491953	0.013548688031733	0.0129053266718984	0.0131720146164298	0.0132883079349995	0.013215915299952	0.013389497064054	0.0129738934338093	0.0133029595017433	0.0123099740594625	0.0132009387016296	0.0119762718677521	0.0121884765103459	0.0123025737702847	0.0119529915973544	0.0120648685842752
